Sector,Year,Month,Month_Year,Avg_Volume_Millions
"Banking & Finance",2021,4,Apr-2021,14.22
"FMCG & Consumer",2000,1,Jan-2000,0.24
"FMCG & Consumer",2000,10,Oct-2000,0.47
"FMCG & Consumer",2000,11,Nov-2000,0.5
"FMCG & Consumer",2000,12,Dec-2000,0.78
"FMCG & Consumer",2000,2,Feb-2000,0.21
"FMCG & Consumer",2000,3,Mar-2000,0.16
"FMCG & Consumer",2000,4,Apr-2000,0.18
"FMCG & Consumer",2000,5,May-2000,0.24
"FMCG & Consumer",2000,6,Jun-2000,0.21
"FMCG & Consumer",2000,7,Jul-2000,0.53
"FMCG & Consumer",2000,8,Aug-2000,0.36
"FMCG & Consumer",2000,9,Sep-2000,0.41
"FMCG & Consumer",2001,1,Jan-2001,0.76
"FMCG & Consumer",2001,10,Oct-2001,0.51
"FMCG & Consumer",2001,11,Nov-2001,0.36
"FMCG & Consumer",2001,12,Dec-2001,0.25
"FMCG & Consumer",2001,2,Feb-2001,1.11
"FMCG & Consumer",2001,3,Mar-2001,0.46
"FMCG & Consumer",2001,4,Apr-2001,0.31
"FMCG & Consumer",2001,5,May-2001,0.19
"FMCG & Consumer",2001,6,Jun-2001,0.28
"FMCG & Consumer",2001,7,Jul-2001,0.26
"FMCG & Consumer",2001,8,Aug-2001,0.2
"FMCG & Consumer",2001,9,Sep-2001,0.52
"FMCG & Consumer",2002,1,Jan-2002,0.2
"FMCG & Consumer",2002,10,Oct-2002,0.29
"FMCG & Consumer",2002,11,Nov-2002,0.38
"FMCG & Consumer",2002,12,Dec-2002,0.28
"FMCG & Consumer",2002,2,Feb-2002,0.32
"FMCG & Consumer",2002,3,Mar-2002,0.22
"FMCG & Consumer",2002,4,Apr-2002,0.35
"FMCG & Consumer",2002,5,May-2002,0.23
"FMCG & Consumer",2002,6,Jun-2002,0.37
"FMCG & Consumer",2002,7,Jul-2002,0.31
"FMCG & Consumer",2002,8,Aug-2002,0.31
"FMCG & Consumer",2002,9,Sep-2002,0.21
"FMCG & Consumer",2003,1,Jan-2003,0.25
